YALI1,YALI2
YALI1_A22330g,YALI2_A00350g
YALI1_A22393g,YALI2_A00349g
YALI1_A22440g,YALI2_A00341g
YALI1_A22454g,YALI2_A00342g
YALI1_A22496g,YALI2_A00348g
YALI1_A22539g,YALI2_A00347g
YALI1_A22551g,YALI2_A00343g
YALI1_B00037g,YALI2_B00001g
YALI1_B00049g,YALI2_B00002g
YALI1_B00082g,YALI2_B00653g
YALI1_B00133g,YALI2_B00003g
YALI1_B00198g,YALI2_B00652g
YALI1_B00214g,YALI2_B00651g
YALI1_B00242g,YALI2_B00004g
YALI1_B00273g,YALI2_B00650g
YALI1_B00280g,YALI2_B00005g
YALI1_B00329g,YALI2_B00649g
YALI1_B00675g,YALI2_B00644g
YALI1_B00829g,YALI2_B00011g
YALI1_B00908g,YALI2_B00006g
YALI1_B00977g,YALI2_B00010g
YALI1_B01030g,YALI2_B00009g
YALI1_B01084g,YALI2_B00008g
YALI1_B01136g,YALI2_B00641g
YALI1_B01223g,YALI2_B00642g
YALI1_B01317g,YALI2_B00007g
YALI1_B01325g,YALI2_B00643g
YALI1_B01428g,YALI2_B00639g
YALI1_B01464g,YALI2_B00012g
YALI1_B01511g,YALI2_B00638g
YALI1_B01552g,YALI2_B00013g
YALI1_B01578g,YALI2_B00014g
YALI1_B01628g,YALI2_B00637g
YALI1_B01644g,YALI2_B00015g
YALI1_B01698g,YALI2_B00636g
YALI1_B01711g,YALI2_B00016g
YALI1_B01752g,YALI2_B00635g
YALI1_B01813g,YALI2_B00634g
YALI1_B01839g,YALI2_B00017g
YALI1_B01903g,YALI2_B00633g
YALI1_B01962g,YALI2_B00632g
YALI1_B02011g,YALI2_B00018g
YALI1_B02091g,YALI2_B00019g
YALI1_B02149g,YALI2_B00631g
YALI1_B02177g,YALI2_B00630g
YALI1_B02194g,YALI2_B00020g
YALI1_B02228g,YALI2_B00021g
YALI1_B02283g,YALI2_B00629g
YALI1_B02345g,YALI2_B00628g
YALI1_B02375g,YALI2_B00022g
YALI1_B02415g,YALI2_B00627g
YALI1_B02430g,YALI2_B00023g
YALI1_B02465g,YALI2_B00626g
YALI1_B02472g,YALI2_B00024g
YALI1_B02487g,YALI2_B00625g
YALI1_B02496g,YALI2_B00025g
YALI1_B02506g,YALI2_B00026g
YALI1_B02533g,YALI2_B00624g
YALI1_B02550g,YALI2_B00027g
YALI1_B02604g,YALI2_B00623g
YALI1_B02637g,YALI2_B00622g
YALI1_B02642g,YALI2_B00028g
YALI1_B02672g,YALI2_B00029g
