,#proteinId,kogid,kogdefline,kogClass,kogGroup,definition,catalyticActivity,pathway,pathway_class,pathway_type,ecNum,cofactors,gotermId,gotermType,goName,goAcc
42,85,['KOG1213'],"['Sister chromatid cohesion complex Cohesin, subunit RAD21/SCC1']","['Cell cycle control, cell division, chromosome partitioning ']",['METABOLISM'],,,,,,,,,,,
43,86,['KOG1339'],['Aspartyl protease'],"['Posttranslational modification, protein turnover, chaperones ']",['CELLULAR PROCESSES AND SIGNALING'],['Yapsin 1.'],"['Hydrolyzes various precursor proteins with Arg or Lys in P1, and commonly Arg or Lys also in P2. The P3 amino acid is usually non- polar, but otherwise additional basic amino acids are favorable in both non-prime and prime positions.']",['\\N'],['\\N'],['\\N'],['3.4.23.41'],['\\N'],"[2632, 4639, 2628]","['molecular_function', 'biological_process', 'molecular_function']","['pepsin A activity', 'proteolysis', 'aspartic-type endopeptidase activity']","['GO:0004194', 'GO:0006508', 'GO:0004190']"
44,88,['KOG1205'],['Predicted dehydrogenase'],"['Secondary metabolites biosynthesis, transport and catabolism ']",['METABOLISM'],"['With NAD(+) or NADP(+) as acceptor.', 'With NAD(+) or NADP(+) as acceptor.', 'With NAD(+) or NADP(+) as acceptor.', 'With NAD(+) or NADP(+) as acceptor.', 'With NAD(+) or NADP(+) as acceptor.', 'With NAD(+) or NADP(+) as acceptor.', 'With NAD(+) or NADP(+) as acceptor.', 'With NAD(+) or NADP(+) as acceptor.', 'With NAD(+) or NADP(+) as acceptor.', 'With NAD(+) or NADP(+) as acceptor.', 'With NAD(+) or NADP(+) as acceptor.', 'With NAD(+) or NADP(+) as acceptor.']","['\\N', '\\N', '\\N', '\\N', '\\N', '\\N', '\\N', '\\N', '\\N', '\\N', '\\N', '\\N']","['Bile acid biosynthesis', 'Vitamin B6 metabolism', 'Glycine, serine and threonine metabolism', 'Butanoate metabolism', 'Fructose and mannose metabolism', 'Galactose metabolism', 'Lysine degradation', 'Nucleotide sugars metabolism', 'Ascorbate and aldarate metabolism', 'Tetrachloroethene degradation', 'Benzoate degradation via CoA ligation', 'Glycerolipid metabolism']","['Lipid Metabolism', 'Metabolism of Cofactors and Vitamins', 'Amino Acid Metabolism', 'Carbohydrate Metabolism', 'Carbohydrate Metabolism', 'Carbohydrate Metabolism', 'Amino Acid Metabolism', 'Nucleotide Metabolism', 'Carbohydrate Metabolism', 'Biodegradation of Xenobiotics', 'Biodegradation of Xenobiotics', 'Metabolism of Complex Lipids']","['METABOLIC', 'METABOLIC', 'METABOLIC', 'METABOLIC', 'METABOLIC', 'METABOLIC', 'METABOLIC', 'METABOLIC', 'METABOLIC', 'METABOLIC', 'METABOLIC', 'METABOLIC']","['1.1.1.-', '1.1.1.-', '1.1.1.-', '1.1.1.-', '1.1.1.-', '1.1.1.-', '1.1.1.-', '1.1.1.-', '1.1.1.-', '1.1.1.-', '1.1.1.-', '1.1.1.-']","['\\N', '\\N', '\\N', '\\N', '\\N', '\\N', '\\N', '\\N', '\\N', '\\N', '\\N', '\\N']","[5830, 9710, 247, 248, 2477, 2842, 2886, 6491, 9508, 10761, 10762, 10763, 15277, 16590, 16591, 19178, 22621, 25233]","['biological_process', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function']","['metabolic process', 'oxidoreductase activity', 'C-3 sterol dehydrogenase (C-4 sterol decarboxylase) activity', '3-keto sterol reductase activity', 'aldo-keto reductase activity', 'isocitrate dehydrogenase activity', 'mevaldate reductase activity', 'gluconate dehydrogenase activity', 'steroid dehydrogenase activity', 'epoxide dehydrogenase activity', '5-exo-hydroxycamphor dehydrogenase activity', '2-hydroxytetrahydrofuran dehydrogenase activity', 'phenylcoumaran benzylic ether reductase activity', 'steroid dehydrogenase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor', 'steroid dehydrogenase activity, acting on the CH-CH group of donors', '(R)-2-hydroxyisocaproate dehydrogenase activity', '3-ketoglucose-reductase activity', '(R)-2-hydroxyglutarate dehydrogenase activity']","['GO:0008152', 'GO:0016491', 'GO:0000252', 'GO:0000253', 'GO:0004033', 'GO:0004448', 'GO:0004495', 'GO:0008875', 'GO:0016229', 'GO:0018451', 'GO:0018452', 'GO:0018453', 'GO:0032442', 'GO:0033764', 'GO:0033765', 'GO:0043713', 'GO:0048258', 'GO:0051990']"
45,89,['KOG0990'],"['Replication factor C, subunit RFC5']","['Replication, recombination and repair ']",['INFORMATION STORAGE AND PROCESSING'],,,,,,,,"[162, 10269, 3736, 2176, 3838, 4421, 2187, 3862]","['molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'cellular_component', 'biological_process', 'molecular_function', 'cellular_component']","['nucleotide binding', 'nucleoside-triphosphatase activity', 'ATP binding', 'DNA binding', 'nucleus', 'DNA replication', 'DNA clamp loader activity', 'DNA replication factor C complex']","['GO:0000166', 'GO:0017111', 'GO:0005524', 'GO:0003677', 'GO:0005634', 'GO:0006260', 'GO:0003689', 'GO:0005663']"
46,92,"['KOG4719', 'KOG4719']","['Nuclear pore complex protein', 'Nuclear pore complex protein']","['Intracellular trafficking, secretion, and vesicular transport ', 'Nuclear structure ']","['CELLULAR PROCESSES AND SIGNALING', 'CELLULAR PROCESSES AND SIGNALING']",,,,,,,,,,,
47,94,,,,,['Ribonuclease P.'],"[""Endonucleolytic cleavage of RNA, removing 5'-extra-nucleotide from tRNA precursor.""]",['\\N'],['\\N'],['\\N'],['3.1.26.5'],['\\N'],[2916],['molecular_function'],['ribonuclease P activity'],['GO:0004526']
48,95,['KOG2167'],['Cullins'],"['Cell cycle control, cell division, chromosome partitioning ']",['METABOLISM'],,,,,,,,"[4642, 14302, 14466]","['biological_process', 'cellular_component', 'molecular_function']","['ubiquitin-dependent protein catabolic process', 'cullin-RING ubiquitin ligase complex', 'ubiquitin protein ligase binding']","['GO:0006511', 'GO:0031461', 'GO:0031625']"
49,96,['KOG1450'],['Predicted Rho GTPase-activating protein'],['Signal transduction mechanisms '],['CELLULAR PROCESSES AND SIGNALING'],,,,,,,,"[3827, 5250]","['cellular_component', 'biological_process']","['intracellular', 'signal transduction']","['GO:0005622', 'GO:0007165']"
50,97,['KOG0682'],['Ammonia permease'],['Inorganic ion transport and metabolism '],['METABOLISM'],,,,,,,,,,,
51,100,['KOG2638'],['UDP-glucose pyrophosphorylase'],['Carbohydrate transport and metabolism '],['METABOLISM'],"['UTP--glucose-1-phosphate uridylyltransferase.', 'UTP--glucose-1-phosphate uridylyltransferase.', 'UTP--glucose-1-phosphate uridylyltransferase.', 'UTP--glucose-1-phosphate uridylyltransferase.']","['UTP + alpha-D-glucose 1-phosphate = diphosphate + UDP-glucose.', 'UTP + alpha-D-glucose 1-phosphate = diphosphate + UDP-glucose.', 'UTP + alpha-D-glucose 1-phosphate = diphosphate + UDP-glucose.', 'UTP + alpha-D-glucose 1-phosphate = diphosphate + UDP-glucose.']","['Pentose and glucuronate interconversions', 'Galactose metabolism', 'Nucleotide sugars metabolism', 'Starch and sucrose metabolism']","['Carbohydrate Metabolism', 'Carbohydrate Metabolism', 'Nucleotide Metabolism', 'Metabolism of Complex Carbohydrates']","['METABOLIC', 'METABOLIC', 'METABOLIC', 'METABOLIC']","['2.7.7.9', '2.7.7.9', '2.7.7.9', '2.7.7.9']","['\\N', '\\N', '\\N', '\\N']","[5830, 9977, 2431]","['biological_process', 'molecular_function', 'molecular_function']","['metabolic process', 'nucleotidyltransferase activity', 'UTP:glucose-1-phosphate uridylyltransferase activity']","['GO:0008152', 'GO:0016779', 'GO:0003983']"
